object_id,ra,dec,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
90d01m35pt85316203s-20d07m59pt41999829s,90.02662587834072,-20.133172221746328,0.0,0.0,0.0,0.0,0.0
92d56m40pt78433942s-30d37m20pt36208363s,92.94466231650597,-30.62232280100793,0.0,0.0,0.0,0.0,0.0
92d56m43pt10698141s-30d36m52pt76199783s,92.94530749483593,-30.614656110508314,0.0,0.0,0.0,0.0,0.0
92d56m24pt28316721s-30d36m47pt16236396s,92.9400786575596,-30.613100656654797,0.0,0.0,0.0,0.0,0.0
92d56m11pt9660189s-30d37m01pt76219597s,92.9366572274719,-30.617156165547545,0.0,0.0,0.0,0.0,0.0
92d55m59pt8825963s-30d36m43pt16171806s,92.93330072119318,-30.611989366128352,0.0,0.0,0.0,0.0,0.0
92d55m47pt79458085s-30d37m20pt36092911s,92.92994293912633,-30.622322480307687,0.0,0.0,0.0,0.0,0.0
110d51m11pt41361453s-73d27m34pt64474649s,110.85317044847947,-73.4596235406916,0.0,0.0,0.0,0.0,0.0
110d48m46pt69244396s-73d27m26pt86286416s,110.81297012332253,-73.45746190671217,0.0,0.0,0.0,0.0,0.0
110d50m13pt03741408s-73d26m56pt65538492s,110.83695483724578,-73.44907094025476,0.0,0.0,0.0,0.0,0.0
110d50m17pt95383063s-73d26m57pt65466219s,110.83832050850948,-73.44934851727518,0.0,0.0,0.0,0.0,0.0
82d13m07pt1333634s-39d27m50pt76770368s,82.21864815650078,-39.464102139910395,0.0,0.0,0.0,0.0,0.0
82d13m14pt38817517s-39d28m16pt76757612s,82.22066338199241,-39.47132432670034,0.0,0.0,0.0,0.0,0.0
48d13m47pt986321s8d22m22pt30596361s,48.22999620027693,8.372862767668968,0.0,0.0,0.0,0.0,0.0
52d46m16pt46385503s-21d00m22pt19638647s,52.77123995973191,-21.006165662909208,0.0,0.0,0.0,0.0,0.0
52d46m11pt32141615s-21d00m33pt79612557s,52.76981150448514,-21.00938781265717,0.0,0.0,0.0,0.0,0.0
69d17m28pt77928939s0d44m15pt0027323s,69.29132758038661,0.7375007589711621,0.0,0.0,0.0,0.0,0.0
69d17m05pt57736722s0d44m07pt40274998s,69.28488260200629,0.7353896527733936,0.0,0.0,0.0,0.0,0.0
69d17m43pt5804299s0d43m39pt4027042s,69.29543900830672,0.7276118622764877,0.0,0.0,0.0,0.0,0.0
69d45m33pt88085519s5d20m43pt64429647s,69.75941134866486,5.345456749020105,0.0,0.0,0.0,0.0,0.0
69d45m57pt18221633s5d20m24pt44445001s,69.7658839489792,5.340123458337105,0.0,0.0,0.0,0.0,0.0
69d45m31pt269462s5d20m46pt44426403s,69.75868596166585,5.3462345177849375,0.0,0.0,0.0,0.0,0.0
69d45m32pt27392228s5d20m39pt24427693s,69.75896497841198,5.344234521368426,0.0,0.0,0.0,0.0,0.0
69d45m32pt27386659s5d20m43pt64427689s,69.75896496294158,5.3454567435794,0.0,0.0,0.0,0.0,0.0
69d45m31pt06867267s5d20m40pt04426147s,69.75863018685399,5.344456739297194,0.0,0.0,0.0,0.0,0.0
69d45m35pt48783484s5d20m44pt44431489s,69.75985773190015,5.345678976358801,0.0,0.0,0.0,0.0,0.0
69d45m54pt77167291s5d20m57pt64444538s,69.76521435358696,5.3493456792715826,0.0,0.0,0.0,0.0,0.0
69d44m56pt90091447s7d16m02pt45142932s,69.7491391429077,7.267347619254366,0.0,0.0,0.0,0.0,0.0
